LINEA 1				SIMBOLO			ID
  <GLOB>			glob			-1
  <SEP>			:			39
  <CHAR>			char			-1
  <SEP>			:			39
  <Identificador>		pi			32
  <FINALEXPRESION>		;			0
  <Identificador>		glo			32
  <SEP>			:			39
  <INT>			int			40
  <SEP>			:			39
  <Identificador>		pi			32
  <FINALEXPRESION>		;			0
  <APERTURACOMENTARIOCOMPUESTO>	/*			36
  <Identificador>		semantico			32
  <CIERRECOMENTARIOCOMPUESTO>	*/			37
  <SALTOLINEA>			salto			2
  <GLOB>			glob			-1
  <SEP>			:			39
  <BOOL>			bool			-1
  <SEP>			:			39
  <Identificador>		pi			32
  <FINALEXPRESION>		;			0
  <APERTURACOMENTARIOCOMPUESTO>	/*			36
  <Identificador>		semantico			32
  <CIERRECOMENTARIOCOMPUESTO>	*/			37
  <SALTOLINEA>			salto			2
  <GLOB>			glob			-1
  <SEP>			:			39
  <STRING>			string			-1
  <SEP>			:			39
  <Identificador>		pi			32
  <FINALEXPRESION>		;			0
  <APERTURACOMENTARIOCOMPUESTO>	/*			36
  <Identificador>		semantico			32
  <CIERRECOMENTARIOCOMPUESTO>	*/			37
  <SALTOLINEA>			salto			2
  <GLOB>			glob			-1
  <SEP>			:			39
  <FLOAT>			float			42
  <SEP>			:			39
  <Identificador>		pi			32
  <FINALEXPRESION>		;			0
  <APERTURACOMENTARIOCOMPUESTO>	/*			36
  <Identificador>		semantico			32
  <CIERRECOMENTARIOCOMPUESTO>	*/			37
  <SALTOLINEA>			salto			2
  <SALTOLINEA>			salto			2
  <FUNC>			func			13
  <SEP>			:			39
  <FLOAT>			float			42
  <SEP>			:			39
  <Identificador>		func1			32
  <INICIOFINBLOQUE>		_			-1
  <SALTOLINEA>			salto			2
  <PARAM>			param			-1
  <SEP>			:			39
  <CHAR>			char			-1
  <SEP>			:			39
  <Identificador>		x22			32
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <PARAM>			param			-1
  <SEP>			:			39
  <CHAR>			char			-1
  <SEP>			:			39
  <Identificador>		x22			32
  <FINALEXPRESION>		;			0
  <SALTOLINEA>			salto			2
  <LOC>			loc			-1
  <SEP>			:			39
  <CHAR>			char			-1
  <SEP>			:			39
  <Identificador>		x22			32
  <FINALEXPRESION>		;			0
  <APERTURACOMENTARIOCOMPUESTO>	/*			36
  <Identificador>		semantico			32
  <Identificador>		x22			32
